scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Equity - Banking,,,,,,,,Sundaram MF
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Equity - Banking,,,,,,,,Sundaram MF
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Equity - Banking,,,,,,,,Sundaram MF
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Equity - Banking,,,,,,,,Sundaram MF
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,Equity - Banking,,,,,,,,Sundaram MF
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,Equity - Banking,,,,,,,,Sundaram MF
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,Equity - Banking,,,,,,,,Sundaram MF
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,Equity - Banking,,,,,,,,Sundaram MF
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,Equity - Banking,,,,,,,,Sundaram MF
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,Equity - Banking,04/01/21,4.48,2.69,9.39,7.71,,-0.18,Sundaram MF
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Equity - Banking,04/01/21,3.48,0,0,0,,-8.93,Sundaram MF
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Equity - Banking,04/01/21,4.99,1.37,7.76,7.6,5.8,-0.22,Sundaram MF
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Equity - Banking,04/01/21,4.99,-5.51,-2.89,-0.98,-0.57,-2.22,Sundaram MF
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,Equity - Banking,04/01/21,4.48,2.65,9.24,7.56,,-0.29,Sundaram MF
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Equity - Banking,04/01/21,3.48,0,0,0,,-8.97,Sundaram MF
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,Equity - Banking,04/01/21,4.99,1.34,7.6,7.46,5.64,-0.34,Sundaram MF
